1,EUR,DKK,7.4357
2,EUR,USD,1.1894
3,EUR,GBP,0.8674
4,EUR,SEK,10.1526
5,EUR,NOK,10.1023
6,EUR,CHF,1.0998
7,EUR,JPY,130.4800
8,USD,DKK,6.2471
9,USD,GBP,0.7293
10,USD,SEK,8.5302
11,USD,NOK,8.4861
12,USD,CHF,0.9243
13,USD,JPY,109.6500
14,GBP,DKK,8.5586
15,GBP,SEK,11.6867
16,GBP,NOK,11.6262
17,GBP,CHF,1.2663
18,GBP,JPY,150.2400
19,SEK,DKK,0.7308
20,SEK,NOK,0.9927
21,SEK,CHF,0.1081
22,SEK,JPY,12.8300
23,NOK,DKK,0.7344
24,NOK,CHF,0.1086
25,NOK,JPY,12.8900
26,CHF,DKK,6.7559
27,CHF,JPY,118.6000
28,JPY,DKK,0.0569